"cus_id","tracker_dist_km"
"8877689391","410"
"8053475328","356"
"4388161847","260"
"2022484408","251"
"1503960366","242"
"3977333714","226"
"4702921684","216"
"8378563200","214"
"6962181067","202"
"7086361926","198"
