"cus_id","daily_cal_burned"
"1644430081","2811"
"2022484408","2510"
"4020332650","2386"
"4388161847","3094"
"4702921684","2966"
"5577150313","3360"
"6117666160","2261"
"6290855005","2600"
"7007744171","2544"
"7086361926","2566"
"8053475328","2946"
"8378563200","3437"
"8583815059","2732"
"8877689391","3420"
