"cus_id","weight_kg","bmi"
"1503960366","53","23"
"2873212765","57","22"
"2873212765","57","21"
"6962181067","61","24"
"6962181067","62","24"
"4558609924","69","27"
"4558609924","70","27"
"4319703577","72","27"
"8877689391","84","25"
"8877689391","85","25"
"8877689391","85","26"
"8877689391","86","26"
"5577150313","91","28"
"1927972279","134","48"
