"cus_id","sleep_per_day"
"1927972279","7"
"2347167796","7"
"4388161847","7"
"4702921684","7"
"5577150313","7"
"6962181067","7"
"8378563200","7"
"8792009665","7"
"2026352035","8"
"4319703577","8"
"5553957443","8"
"6117666160","8"
"7086361926","8"
"1844505072","11"
